Target Word,AI Prediction_Cosine,Hybrid Prediction_Cosine,Rule-Based Prediction,AI Prediction_Euclidean,Hybrid Prediction_Euclidean,Entropy Prediction,Steps
ZİRVE,ÜTÜLÜ,ÜTÜLÜ,ÜTÜLÜ,ÜTÜLÜ,ÜTÜLÜ,ÜTÜLÜ,1
ZİRVE,KARAK,KAÇAK,CEVAP,KARAK,KAÇAK,MERAK,1
ZİRVE,SERİE,ESİRE,EVSİZ,SERİE,SERİN,DİREN,2
ZİRVE,DİRME,GİRME,ZİRVE,DİREE,GİRME,ZİRVE,3
ZİRVE,FİRDE,ZİRVE,ZİRVE,FİRDE,ZİRVE,ZİRVE,4
ZİRVE,ZİRVE,ZİRVE,ZİRVE,ZİRVE,ZİRVE,ZİRVE,5
BÜYÜK,SUTAŞ,SUTAŞ,SUTAŞ,SUTAŞ,SUTAŞ,SUTAŞ,1
BÜYÜK,KELEE,ELDEN,EKİLİ,KELEE,KELEK,KERİM,1
BÜYÜK,KİRİK,KRİKO,KIYIN,BİRÜK,BÜRÜK,YÜKÇÜ,2
BÜYÜK,BIKÜK,BIÇIK,HÖYÜK,BÜZÜK,BÜZÜK,BÜYÜK,3
BÜYÜK,BÜZÜK,BÜZÜK,BÜYÜK,BÜZÜK,BÜYÜK,BÜYÜK,4
BÜYÜK,BÜZÜK,BÜYÜK,BÜYÜK,BÜYÜK,BÜYÜK,BÜYÜK,5
SONRA,CAZLI,CAZLI,CAZLI,CAZLI,CAZLI,CAZLI,1
SONRA,AORAA,AŞARİ,İMKAN,AORAA,ABRAŞ,MERAK,1
SONRA,SOARA,SONRA,FUNDA,KRARA,OPERA,ORADA,2
SONRA,SONRA,SONRA,TENHA,SONRA,SONRA,ÇOPRA,3
SONRA,SONRA,SONRA,YONGA,SONRA,SONRA,SOFRA,4
SONRA,SONRA,SONRA,SONRA,SONRA,SONRA,SONRA,5
ZAMAN,ŞİKAR,ŞİKAR,ŞİKAR,ŞİKAR,ŞİKAR,ŞİKAR,1
ZAMAN,SALAN,ASLAN,ESPAS,SALAN,SAVAN,TALAN,1
ZAMAN,TAMAN,ZAMAN,ALMAÇ,YAMAN,YAMAN,BAYAN,2
ZAMAN,ZAMAN,ZAMAN,DAMAT,HAMAN,ZAMAN,HAZAN,3
ZAMAN,ZAMAN,ZAMAN,HAMAM,ZAMAN,ZAMAN,ZAMAN,4
ZAMAN,ZAMAN,ZAMAN,NAMAZ,ZAMAN,ZAMAN,ZAMAN,5
